Final Rank,Formula,Avg Voltage (V),Energy Density (Wh/L),Cost per kWh ($/kWh),Thermal Safety Score,Estimated Cycles,Cycle Life Category,CathodeAI Complete Score
1,Li0-1CuO2,3.941,4891.08,12.0,0.75,320,Poor (<500),0.8270927524499707
2,Li0-1CuO,3.592,4504.42,12.0,0.75,180,Poor (<500),0.8212998762743963
3,Li0-2CuPO4,3.894,4008.82,12.0,0.9,484,Poor (<500),0.7983279784777269
4,Li0-0.33CuO,4.066,2705.47,12.0,0.75,162,Poor (<500),0.7846465607851751
5,Li0-5Mn3Cu(PO4)4,3.524,2429.71,8.0,0.85,1109,Good (1000-2000),0.7799159573548504
6,Li0-1MnO2,3.665,4206.91,8.0,0.65,633,Moderate (500-1000),0.7791784029317921
7,Li0-5Mn2(PO4)3,4.018,3481.3,8.0,0.85,943,Moderate (500-1000),0.7773125481376706
8,Li0-2Mn3CuO8,4.251,2588.8,8.0,0.7,732,Moderate (500-1000),0.7749615274951657
9,Li0-1CuPO4,4.134,2545.97,12.0,0.9,639,Moderate (500-1000),0.7729902474225849
10,Li0-1CuPO4,4.011,2468.97,12.0,0.9,629,Moderate (500-1000),0.7718412802298042
11,Li0-2MnCu(PO4)2,3.865,2281.58,8.0,0.8,1195,Good (1000-2000),0.7716299823380603
12,Li0-4MnCu3(PO4)4,4.129,2484.1,8.0,0.8,977,Moderate (500-1000),0.7691180517267087
13,Li1-5Mn2(PO4)3,3.862,2813.78,8.0,0.85,1156,Good (1000-2000),0.7689042556657544
14,Li3-5Cu(PO4)2,3.766,2028.75,12.0,0.9,644,Moderate (500-1000),0.768787514621092
15,Li3-5Cu(PO4)2,3.754,1981.55,12.0,0.9,638,Moderate (500-1000),0.7680889197201395
16,Li0-4Mn3CuO8,3.317,3977.94,8.0,0.7,689,Moderate (500-1000),0.7675171139966681
17,Li0-2Cu(PO3)3,3.624,1882.69,12.0,0.9,622,Moderate (500-1000),0.7652516443374179
18,Li0-6Mn3(PO4)4,4.151,3209.37,8.0,0.85,668,Moderate (500-1000),0.7646221693109309
19,Li0-1CuO2,4.576,5212.54,12.0,0.75,192,Poor (<500),0.7643390663534466
20,Li2.5-5Mn3O8,3.621,2823.87,8.0,0.7,755,Moderate (500-1000),0.7642090253683672
